seed,sil_rag,sil_gnn,nmi_rag,nmi_gnn,ari_rag,ari_gnn,lp_auroc_rag,lp_auroc_gnn,lp_auprc,ret_map,tgt_auroc,temp_auroc,nc_auroc,gate_mean
42,-0.06880959123373032,-0.14699296653270721,0.27034315205122605,0.2774925588146823,0.10653575557773848,0.08303045457815789,0.891644081632653,0.8792016326530613,0.5827328463297415,0.33509234828496043,0.5292655367231639,0.3444444444444445,0.5569756628413138,0.5671447
43,-0.21936167776584625,-0.2973064184188843,0.21811681670635621,0.21610614009515228,0.04915391589815309,0.04079770639844731,0.747454693877551,0.5751302040816326,0.33029257621781943,0.18891820580474936,0.4088135593220339,0.4888888888888889,0.6096520907531988,0.6104965
44,-0.0699852928519249,-0.14348925650119781,0.2998808499668796,0.28679180392582293,0.12058411007894301,0.08667787763450817,0.8995200000000001,0.8665510204081633,0.6000424376747117,0.33667546174142476,0.4935593220338983,0.43333333333333335,0.6267644440047487,0.5772661
45,-0.18803757429122925,-0.3061811327934265,0.21084581187488458,0.21258530105772178,0.06573674627111435,0.04363910386017876,0.7550551020408163,0.6982873469387755,0.3433413543551813,0.17651715039577837,0.4328813559322034,0.4444444444444444,0.611152057776019,0.6121232
46,-0.09895958751440048,-0.21409393846988678,0.2345268866685604,0.2545624175891374,0.07234435541759213,0.07042417476822592,0.8742804081632652,0.8189020408163266,0.5474595355596686,0.21398416886543534,0.6012429378531073,0.28888888888888886,0.6911217187706107,0.59138507
47,-0.09103037416934967,-0.225698322057724,0.2661396253099144,0.258182249112516,0.1072754360779506,0.06845710651449152,0.8618783673469389,0.8490604081632653,0.4986351281154748,0.2778364116094987,0.6718644067796611,0.5444444444444444,0.6116676559820604,0.5854669
48,-0.06598668545484543,-0.15592916309833527,0.2895163348095333,0.28453762097061164,0.1304671805277711,0.08021752339870268,0.8905493877551021,0.8717542857142857,0.5951995734494792,0.3387862796833773,0.6117514124293786,0.3555555555555555,0.5716836499142592,0.56936103
49,-0.21929319202899933,-0.2959953546524048,0.2227658064965465,0.21262039616323924,0.06560170669504381,0.04366795395791444,0.763958775510204,0.7082236734693877,0.32709271356711345,0.18443271767810027,0.3775141242937853,0.5222222222222221,0.6270856417359187,0.60823107
50,-0.19732919335365295,-0.2984592616558075,0.2115893710751964,0.20411442215599862,0.04647360550294211,0.046097402826906546,0.7801555102040816,0.7397530612244897,0.36512777121293405,0.18179419525065965,0.43288135593220334,0.5333333333333333,0.6368580991953567,0.60878277
51,-0.2207247018814087,-0.2835509181022644,0.21800473157355474,0.2130508147380506,0.061886796800383045,0.04894956381480773,0.7586036734693877,0.7292248979591837,0.34353334096827093,0.18891820580474933,0.3664406779661017,0.5444444444444444,0.5705726487270808,0.60161865
